SLR,Region,impactedregionarea
1 meter,Latin America / Caribbean,0.344047112
2 meter,Latin America / Caribbean,0.619534333
3 meter,Latin America / Caribbean,0.977673856
4 meter,Latin America / Caribbean,1.376883863
5 meter,Latin America / Caribbean,1.782025364
1 meter,Middle East / North Africa,1.183480386
2 meter,Middle East / North Africa,1.731612728
3 meter,Middle East / North Africa,2.294139895
4 meter,Middle East / North Africa,2.808402062
5 meter,Middle East / North Africa,3.282302269
1 meter,Sub-Saharan Africa,0.036901568
2 meter,Sub-Saharan Africa,0.076312532
3 meter,Sub-Saharan Africa,0.147807919
4 meter,Sub-Saharan Africa,0.251880647
5 meter,Sub-Saharan Africa,0.362047623
1 meter,East Asia,0.829827827
2 meter,East Asia,1.432194425
3 meter,East Asia,2.225238877
4 meter,East Asia,3.182556823
5 meter,East Asia,4.191970845
1 meter,South Asia,0.117309831
2 meter,South Asia,0.23458659
3 meter,South Asia,0.454587998
4 meter,South Asia,0.802647954
5 meter,South Asia,1.211859835
1 meter,Global,0.393459868
2 meter,Global,0.688363864
3 meter,Global,1.088004075
4 meter,Global,1.576383025
5 meter,Global,2.092883909
